1;389;1000;0.01
2;432;2000;0.01
3;369;4000;0.01
4;354;8000;0.01
5;304;16000;0.01
6;271;32000;0.01
7;511;64000;0.01
8;425;120000;0.01
1;271;1000;0.25
2;173;2000;0.25
3;500;4000;0.25
4;690;8000;0.25
5;431;16000;0.25
6;283;32000;0.25
7;444;64000;0.25
8;642;120000;0.25
1;148;1000;0.5
2;212;2000;0.5
3;501;4000;0.5
4;484;8000;0.5
5;513;16000;0.5
6;479;32000;0.5
7;558;64000;0.5
8;862;120000;0.5
1;264;1000;0.75
2;563;2000;0.75
3;486;4000;0.75
4;499;8000;0.75
5;526;16000;0.75
6;495;32000;0.75
7;713;64000;0.75
8;665;120000;0.75
1;3197;1000;0.99
2;8841;2000;0.99
3;3390;4000;0.99
4;9259;8000;0.99
5;7275;16000;0.99
6;5486;32000;0.99
7;2256;64000;0.99
8;27485;120000;0.99
1;650;1000;0.01
2;268;2000;0.01
3;289;4000;0.01
4;257;8000;0.01
5;243;16000;0.01
6;549;32000;0.01
7;586;64000;0.01
8;505;120000;0.01
1;274;1000;0.25
2;489;2000;0.25
3;472;4000;0.25
4;503;8000;0.25
5;358;16000;0.25
6;606;32000;0.25
7;629;64000;0.25
8;918;120000;0.25
1;148;1000;0.5
2;427;2000;0.5
3;564;4000;0.5
4;689;8000;0.5
5;2120;16000;0.5
6;681;32000;0.5
7;1056;64000;0.5
8;1015;120000;0.5
1;652;1000;0.75
2;508;2000;0.75
3;515;4000;0.75
4;597;8000;0.75
5;954;16000;0.75
6;854;32000;0.75
7;845;64000;0.75
8;805;120000;0.75
1;3091;1000;0.99
2;5025;2000;0.99
3;3156;4000;0.99
4;7454;8000;0.99
5;6620;16000;0.99
6;8293;32000;0.99
7;1994;64000;0.99
8;20408;120000;0.99
1;289;1000;0.01
2;250;2000;0.01
3;182;4000;0.01
4;235;8000;0.01
5;365;16000;0.01
6;492;32000;0.01
7;623;64000;0.01
8;454;120000;0.01
1;204;1000;0.25
2;411;2000;0.25
3;389;4000;0.25
4;365;8000;0.25
5;748;16000;0.25
6;909;32000;0.25
7;576;64000;0.25
8;620;120000;0.25
1;317;1000;0.5
2;466;2000;0.5
3;487;4000;0.5
4;535;8000;0.5
5;796;16000;0.5
6;551;32000;0.5
7;856;64000;0.5
8;900;120000;0.5
1;488;1000;0.75
2;595;2000;0.75
3;554;4000;0.75
4;571;8000;0.75
5;705;16000;0.75
6;699;32000;0.75
7;1073;64000;0.75
8;855;120000;0.75
1;3714;1000;0.99
2;4821;2000;0.99
3;2935;4000;0.99
4;7010;8000;0.99
5;9345;16000;0.99
6;5361;32000;0.99
7;1666;64000;0.99
8;19347;120000;0.99
